variant,recall_at_1,recall_at_3,recall_at_5,mrr,negative_accuracy,acc_at_0_1,acc_at_0_25,acc_at_0_5,avg_runtime_seconds,avg_checked_nodes,avg_checked_views,avg_checked_objects,avg_estimated_input_tokens
graph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002272,1.714286,1.0,12.107143,302.678571
graph_fallback,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005057,1.714286,1.0,51.821429,1274.553571
flat_lexical,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005519,1.714286,1.0,71.875,1765.178571
flat_embedding,0.979167,1.0,1.0,0.989583,0.0,0.979167,0.979167,0.979167,0.523964,2.0,1.0,71.875,1765.178571
ablation_no_hierarchy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004504,1.714286,1.0,71.875,1765.178571
ablation_no_relation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003226,1.714286,1.0,41.75,1028.178571
ablation_no_fallback,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002284,1.714286,1.0,12.107143,302.678571
ablation_flat_only,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003183,1.714286,1.0,71.875,1765.178571
