variant,recall_at_1,recall_at_3,recall_at_5,mrr,negative_accuracy,acc_at_0_1,acc_at_0_25,acc_at_0_5,avg_runtime_seconds,avg_checked_nodes,avg_checked_views,avg_checked_objects,avg_estimated_input_tokens
graph,0.607143,0.785714,0.821429,0.704613,1.0,0.589286,0.589286,0.589286,0.002338,1.5,1.734375,4.375,200.0625
graph_fallback,0.625,0.821429,0.857143,0.732192,1.0,0.589286,0.589286,0.589286,0.006373,1.5,4.140625,39.8125,1719.515625
flat_lexical,0.625,0.821429,0.857143,0.732192,1.0,0.589286,0.589286,0.589286,0.008085,1.5,4.875,49.0,2114.984375
flat_embedding,0.339286,0.785714,0.875,0.570706,0.0,0.339286,0.339286,0.339286,0.733745,2.0,4.875,49.0,2114.984375
ablation_no_hierarchy,0.625,0.821429,0.857143,0.732192,1.0,0.589286,0.589286,0.589286,0.00524,1.5,4.875,49.0,2114.984375
ablation_no_relation,0.535714,0.821429,0.857143,0.684573,1.0,0.5,0.5,0.5,0.002468,1.5,3.421875,29.28125,1267.96875
ablation_no_fallback,0.607143,0.785714,0.821429,0.704613,1.0,0.589286,0.589286,0.589286,0.002388,1.5,1.734375,4.375,200.0625
ablation_flat_only,0.535714,0.821429,0.857143,0.684573,1.0,0.5,0.5,0.5,0.002468,1.5,4.875,49.0,2114.984375
