variant,recall_at_1,recall_at_3,recall_at_5,mrr,negative_accuracy,acc_at_0_1,acc_at_0_25,acc_at_0_5,avg_runtime_seconds,avg_checked_nodes,avg_checked_views,avg_checked_objects,avg_estimated_input_tokens
graph,0.604167,0.8125,0.854167,0.717882,,0.604167,0.604167,0.604167,0.002726,1.833333,1.8125,4.729167,219.3125
graph_fallback,0.625,0.833333,0.875,0.743113,,0.604167,0.604167,0.604167,0.006862,1.833333,3.895833,36.75,1589.479167
flat_lexical,0.625,0.833333,0.875,0.743113,,0.604167,0.604167,0.604167,0.007387,1.833333,4.875,49.0,2116.770833
flat_embedding,0.3125,0.770833,0.875,0.55124,,0.3125,0.3125,0.3125,0.774938,2.0,4.875,49.0,2116.770833
ablation_no_hierarchy,0.625,0.833333,0.875,0.743113,,0.604167,0.604167,0.604167,0.006274,1.833333,4.875,49.0,2116.770833
ablation_no_relation,0.520833,0.833333,0.875,0.687558,,0.5,0.5,0.5,0.002271,1.833333,2.9375,22.708333,987.416667
ablation_no_fallback,0.604167,0.8125,0.854167,0.717882,,0.604167,0.604167,0.604167,0.002834,1.833333,1.8125,4.729167,219.3125
ablation_flat_only,0.520833,0.833333,0.875,0.687558,,0.5,0.5,0.5,0.002789,1.833333,4.875,49.0,2116.770833
