variant,recall_at_1,acc_at_0_1,acc_at_0_25,acc_at_0_5,avg_runtime_seconds,avg_checked_nodes,avg_checked_views,avg_checked_objects,avg_estimated_input_tokens
graph,1.0,1.0,1.0,1.0,0.000903,1.714286,1.0,12.107143,302.678571
graph_fallback,1.0,1.0,1.0,1.0,0.001257,1.714286,1.0,41.75,1028.178571
flat_lexical,1.0,1.0,1.0,1.0,0.008785,1.714286,1.0,71.875,1765.178571
flat_embedding,0.833333,0.875,0.875,0.833333,0.137096,2.0,1.0,71.875,1765.178571
ablation_no_hierarchy,1.0,1.0,1.0,1.0,0.008952,1.714286,1.0,71.875,1765.178571
ablation_no_relation,1.0,1.0,1.0,1.0,0.001087,1.714286,1.0,41.75,1028.178571
ablation_no_fallback,1.0,1.0,1.0,1.0,0.000936,1.714286,1.0,12.107143,302.678571
ablation_flat_only,1.0,1.0,1.0,1.0,0.001026,1.714286,1.0,71.875,1765.178571
