variant,recall_at_1,acc_at_0_1,acc_at_0_25,acc_at_0_5,avg_runtime_seconds,avg_checked_nodes,avg_checked_views,avg_checked_objects,avg_estimated_input_tokens
graph,0.270833,0.270833,0.270833,0.270833,0.000785,1.833333,2.416667,11.229167,500.5
graph_fallback,0.270833,0.270833,0.270833,0.270833,0.001636,1.875,4.791667,47.0,2027.229167
flat_lexical,0.270833,0.270833,0.270833,0.270833,0.001526,1.875,4.875,49.0,2116.770833
flat_embedding,0.25,0.25,0.25,0.25,0.168815,2.0,4.875,49.0,2116.770833
ablation_no_hierarchy,0.270833,0.270833,0.270833,0.270833,0.001555,1.875,4.875,49.0,2116.770833
ablation_no_relation,0.291667,0.291667,0.291667,0.291667,0.001274,1.833333,4.770833,47.708333,2061.875
ablation_no_fallback,0.270833,0.270833,0.270833,0.270833,0.000777,1.833333,2.416667,11.229167,500.5
ablation_flat_only,0.291667,0.291667,0.291667,0.291667,0.000945,1.833333,4.875,49.0,2116.770833
